name,addr,type,source,namespace,is_primary
_gp_1,0x00000002,Label,ANALYSIS,Global,1
DAT_00000010,0x00000010,Label,DEFAULT,Global,1
DAT_00000011,0x00000011,Label,DEFAULT,Global,1
DAT_00000012,0x00000012,Label,DEFAULT,Global,1
DAT_00000013,0x00000013,Label,DEFAULT,Global,1
DAT_00000014,0x00000014,Label,DEFAULT,Global,1
DAT_00000015,0x00000015,Label,DEFAULT,Global,1
DAT_00000016,0x00000016,Label,DEFAULT,Global,1
DAT_00000017,0x00000017,Label,DEFAULT,Global,1
DAT_00000018,0x00000018,Label,DEFAULT,Global,1
DAT_0000029a,0x0000029A,Label,DEFAULT,Global,1
DAT_0000029b,0x0000029B,Label,DEFAULT,Global,1
DAT_0000029c,0x0000029C,Label,DEFAULT,Global,1
DAT_0000029d,0x0000029D,Label,DEFAULT,Global,1
DAT_00000320,0x00000320,Label,DEFAULT,Global,1
DAT_00000380,0x00000380,Label,DEFAULT,Global,1
DAT_00000384,0x00000384,Label,DEFAULT,Global,1
DAT_0000207f,0x0000207F,Label,DEFAULT,Global,1
DAT_00002083,0x00002083,Label,DEFAULT,Global,1
DAT_00002087,0x00002087,Label,DEFAULT,Global,1
DAT_00008000,0x00008000,Label,DEFAULT,Global,1
DAT_0000c000,0x0000C000,Label,DEFAULT,Global,1
DAT_08000000,0x08000000,Label,DEFAULT,Global,1
DAT_08000008,0x08000008,Label,DEFAULT,Global,1
DAT_0800000c,0x0800000C,Label,DEFAULT,Global,1
DAT_08000034,0x08000034,Label,DEFAULT,Global,1
DAT_08000050,0x08000050,Label,DEFAULT,Global,1
DAT_08000068,0x08000068,Label,DEFAULT,Global,1
DAT_08000070,0x08000070,Label,DEFAULT,Global,1
DAT_0800007c,0x0800007C,Label,DEFAULT,Global,1
DAT_080000c8,0x080000C8,Label,DEFAULT,Global,1
DAT_080000d0,0x080000D0,Label,DEFAULT,Global,1
DAT_080000e4,0x080000E4,Label,DEFAULT,Global,1
DAT_080000e8,0x080000E8,Label,DEFAULT,Global,1
DAT_08000110,0x08000110,Label,DEFAULT,Global,1
DAT_08000120,0x08000120,Label,DEFAULT,Global,1
DAT_0800012c,0x0800012C,Label,DEFAULT,Global,1
DAT_0800018c,0x0800018C,Label,DEFAULT,Global,1
DAT_08000198,0x08000198,Label,DEFAULT,Global,1
DAT_080001a4,0x080001A4,Label,DEFAULT,Global,1
DAT_080001b8,0x080001B8,Label,DEFAULT,Global,1
DAT_080001bc,0x080001BC,Label,DEFAULT,Global,1
DAT_080001c8,0x080001C8,Label,DEFAULT,Global,1
DAT_080001f0,0x080001F0,Label,DEFAULT,Global,1
DAT_08000204,0x08000204,Label,DEFAULT,Global,1
DAT_08000238,0x08000238,Label,DEFAULT,Global,1
DAT_08000254,0x08000254,Label,DEFAULT,Global,1
DAT_08000284,0x08000284,Label,DEFAULT,Global,1
DAT_080002c8,0x080002C8,Label,DEFAULT,Global,1
DAT_080002d8,0x080002D8,Label,DEFAULT,Global,1
DAT_08000318,0x08000318,Label,DEFAULT,Global,1
DAT_08000324,0x08000324,Label,DEFAULT,Global,1
DAT_08000334,0x08000334,Label,DEFAULT,Global,1
DAT_08000340,0x08000340,Label,DEFAULT,Global,1
DAT_08000348,0x08000348,Label,DEFAULT,Global,1
DAT_08000364,0x08000364,Label,DEFAULT,Global,1
DAT_08000378,0x08000378,Label,DEFAULT,Global,1
DAT_08000380,0x08000380,Label,DEFAULT,Global,1
DAT_080003e4,0x080003E4,Label,DEFAULT,Global,1
DAT_080003fc,0x080003FC,Label,DEFAULT,Global,1
DAT_08000414,0x08000414,Label,DEFAULT,Global,1
DAT_0800041c,0x0800041C,Label,DEFAULT,Global,1
DAT_0800042c,0x0800042C,Label,DEFAULT,Global,1
DAT_0800046c,0x0800046C,Label,DEFAULT,Global,1
DAT_08000490,0x08000490,Label,DEFAULT,Global,1
DAT_080004ac,0x080004AC,Label,DEFAULT,Global,1
